"filename", "language", "HTML", "CSS", "TypeScript", "comment", "blank", "total"
"d:\IFMS_Angular\surbhi\ifms\src\app\modules\core\dppfgpf\gpf\voucher-entry-listing\voucher-entry-listing.component.css", "CSS", 0, 3, 0, 0, 1, 4
"d:\IFMS_Angular\surbhi\ifms\src\app\modules\core\dppfgpf\gpf\voucher-entry-listing\voucher-entry-listing.component.html", "HTML", 133, 0, 0, 14, 11, 158
"d:\IFMS_Angular\surbhi\ifms\src\app\modules\core\dppfgpf\gpf\voucher-entry-listing\voucher-entry-listing.component.ts", "TypeScript", 0, 0, 187, 19, 25, 231
"d:\IFMS_Angular\surbhi\ifms\src\app\modules\core\dppfgpf\gpf\voucher-entry\voucher-entry-dialog.html", "HTML", 229, 0, 0, 0, 48, 277
"d:\IFMS_Angular\surbhi\ifms\src\app\modules\core\dppfgpf\gpf\voucher-entry\voucher-entry.component.css", "CSS", 0, 3, 0, 0, 1, 4
"d:\IFMS_Angular\surbhi\ifms\src\app\modules\core\dppfgpf\gpf\voucher-entry\voucher-entry.component.html", "HTML", 361, 0, 0, 109, 62, 532
"d:\IFMS_Angular\surbhi\ifms\src\app\modules\core\dppfgpf\gpf\voucher-entry\voucher-entry.component.spec.ts", "TypeScript", 0, 0, 20, 0, 6, 26
"d:\IFMS_Angular\surbhi\ifms\src\app\modules\core\dppfgpf\gpf\voucher-entry\voucher-entry.component.ts", "TypeScript", 0, 0, 435, 28, 105, 568
"d:\IFMS_Angular\surbhi\ifms\src\app\modules\core\dppfgpf\gpf\voucher-entry_NancyKumari\voucher-entry-dialog.html", "HTML", 229, 0, 0, 0, 48, 277
"d:\IFMS_Angular\surbhi\ifms\src\app\modules\core\dppfgpf\gpf\voucher-entry_NancyKumari\voucher-entry.component.css", "CSS", 0, 3, 0, 0, 1, 4
"d:\IFMS_Angular\surbhi\ifms\src\app\modules\core\dppfgpf\gpf\voucher-entry_NancyKumari\voucher-entry.component.html", "HTML", 458, 0, 0, 0, 75, 533
"d:\IFMS_Angular\surbhi\ifms\src\app\modules\core\dppfgpf\gpf\voucher-entry_NancyKumari\voucher-entry.component.ts", "TypeScript", 0, 0, 398, 67, 123, 588
"Total", "-", 1410, 9, 1040, 237, 506, 3202
